stn,stn_no,start_yr,end_yr
Tucson,1,1987,2019
Yuma Valley,2,1987,2019
Safford,4,1987,2019
Coolidge,5,1987,2019
Maricopa,6,1987,2019
Aguila,7,1987,2019
Parker #1,8,1987,2019
Bonita,9,1987,2019
Phoenix Greenway,12,1987,2019
Yuma North Gila,14,1988,2019
Phoenix Encanto,15,1988,2019
Paloma,19,1991,2019
Mohave,20,1992,2019
Queen Creek,22,1995,2019
Harquahala,23,1996,2019
Roll,24,1997,2019
Buckeye,26,1998,2019
Desert Ridge,27,2002,2019
Mohave #2,28,2003,2019
Mesa,29,2003,2019
Payson,32,2003,2019
Bowie,33,2004,2019
Parker #2,35,2009,2019
Yuma South,36,2009,2019
San Simon,37,2011,2019
Sahuarita,38,2013,2019
Willcox Bench,39,2016,2019
"Fort Mohave, CA",40,2017,2019
Salome,41,2018,2019
