year,month,day
2016,3,25
2016,3,27
2016,3,28
2016,3,28
2016,3,31
2016,3,31
2016,4,1
2016,4,1
2016,4,1
2016,4,1
2016,4,2
2016,4,2
2016,4,3
2016,4,3
2016,4,3
2016,4,4
2016,4,4
2016,4,4
2016,4,4
2016,4,4
2016,4,4
2016,4,5
2016,4,5
2016,4,5
2016,4,6
2016,4,6
2016,4,6
2016,4,7
2016,4,7
2016,4,8
2016,4,8
2016,4,9
2016,4,9
2016,4,10
2016,4,10
2016,4,12
2016,4,13
2016,4,18
2016,4,19
2016,4,21
2017,3,21
2017,3,23
2017,3,23
2017,3,25
2017,3,25
2017,3,25
2017,3,28
2017,3,28
2017,3,28
2017,3,29
2017,3,29
2017,3,30
2017,3,30
2017,3,30
2017,3,31
2017,4,1
2017,4,1
2017,4,2
2017,4,2
2017,4,2
2017,4,2
2017,4,2
2017,4,3
2017,4,3
2017,4,3
2017,4,4
2017,4,5
2017,4,6
2017,4,7
2017,4,7
2017,4,7
2017,4,7
2017,4,8
2017,4,8
2017,4,9
2017,4,9
2017,4,9
2017,4,11
2017,4,13
2017,4,14
2018,4,1
2018,4,3
2018,4,4
2018,4,5
2018,4,5
2018,4,5
2018,4,5
2018,4,5
2018,4,6
2018,4,6
2018,4,6
2018,4,6
2018,4,6
2018,4,6
2018,4,6
2018,4,6
2018,4,7
2018,4,7
2018,4,7
2018,4,8
2018,4,8
2018,4,8
2018,4,8
2018,4,8
2018,4,8
2018,4,8
2018,4,9
2018,4,9
2018,4,9
2018,4,9
2018,4,9
2018,4,9
2018,4,9
2018,4,10
2018,4,10
2018,4,11
2018,4,11
2018,4,12
2018,4,15
2018,4,16
2018,4,17
2018,4,21
2019,4,2
2019,4,3
2019,4,5
2019,4,5
2019,4,6
2019,4,6
2019,4,6
2019,4,6
2019,4,6
2019,4,7
2019,4,7
2019,4,8
2019,4,8
2019,4,8
2019,4,8
2019,4,8
2019,4,9
2019,4,9
2019,4,9
2019,4,9
2019,4,9
2019,4,9
2019,4,9
2019,4,10
2019,4,10
2019,4,10
2019,4,10
2019,4,11
2019,4,11
2019,4,11
2019,4,11
2019,4,11
2019,4,11
2019,4,11
2019,4,12
2019,4,14
2019,4,15
2019,4,15
2019,4,16
2019,4,19
2020,4,1
2020,4,3
2020,4,4
2020,4,4
2020,4,6
2020,4,6
2020,4,6
2020,4,7
2020,4,7
2020,4,7
2020,4,8
2020,4,8
2020,4,8
2020,4,10
2020,4,11
2020,4,11
2020,4,11
2020,4,13
2020,4,13
2020,4,13
2020,4,13
2020,4,13
2020,4,13
2020,4,14
2020,4,14
2020,4,14
2020,4,14
2020,4,14
2020,4,14
2020,4,14
2020,4,15
2020,4,15
2020,4,15
2020,4,15
2020,4,17
2020,4,17
2020,4,18
2020,4,18
2020,4,19
2020,4,20
2020,4,21
2020,4,21
2020,4,23
