Tmin,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100,100-105,105-110
40-45,0.083,0.083,0.083,0.083,0.083,0.077,0.067,0.067,0.056,0.05,0.043
45-50,0.083,0.083,0.083,0.083,0.091,0.083,0.077,0.067,0.059,0.053,0.048
50-55,0.083,0.083,0.083,0.083,0.1,0.091,0.083,0.077,0.063,0.059,0.053
55-60,0.083,0.083,0.083,0.091,0.111,0.1,0.091,0.083,0.077,0.063,0.059
60-65,,0.083,0.083,0.111,0.111,0.111,0.1,0.091,0.077,0.071,0.067
65-70,,,0.1,0.143,0.143,0.125,0.125,0.1,0.091,0.077,0.071
70-75,,,,0.143,0.167,0.143,0.125,0.111,0.091,0.077,0.067
75-80,,,,,0.143,0.125,0.091,0.083,0.067,0.056,
80-85,,,,,,0.091,0.077,0.059,,,
85-90,,,,,,,0.059,0.059,,,
